Position,Code,Grade,Avg.Salary,Count
Fire/Rescue Lieutenant,3168,B1,100748.62,121
Radiologic Technologist,202420,17,75290,2
Work Force Leader I,5213,13,58004.32,2
Management and Budget Specialist I,428,18,78902,1
Transit Operations Supervisor,4457,21,89015.11,23
Automotive Parts Technician II,9238,16,68294.84,19
Emergency Management Specialist II,200701,26,95417.36,8
Forensics Specialist II,3520,21,74317.89,2
Library Associate II,1190,21,90703.19,7
"Animal Services Officer, Lead",202272,21,68185.13,2
Correctional Officer III (Corporal),3237,C5,75753.16,142
Emergency Vehicle Maintenance Crew Chief,205001,23,99852,4
Visual Information Specialist,4445,21,86650.02,6
School Health Room Technician I,202702,15,68575,1
Senior Permitting Services Specialist,2201,26,111867.94,39
Lead Revenue Counter,4533,13,62488,1
Latent Print Examiner,3505,20,75570.31,4
Planning Specialist III,4403,23,92327.03,24
Alcohol and Tobacco Enforcement Specialist II,2220,21,87290.86,7
Enterprise Technology Expert,100548,34,159475,3
Fire/Rescue Assistant Chief,3163,B4,148712,12
Messenger-Clerk,9252,7,39366.25,1
Nurse Manager,2304,25,107867.36,15
Construction Representative III,3650,23,96865.33,18
Real Estate Specialist III,328,25,109079.84,4
Security Officer I,3535,15,62162.86,22
EMS Educator,3149,25,105535.06,1
"Accountant/Auditor, Lead/Senior",209,25,109049.88,12
Truck Driver Helper/Warehouse Worker,8117,10,44057.14,27
Program Manager II,832,25,104143.12,175
Public Safety Reporting Aide I,3502,16,62423.72,6
Public Safety Reporting Aide II,3504,18,67443.51,3
Autobody Repairer,5015,17,71414.74,4
Community Health Nurse II,2306,24,95906.25,148
Traffic Enforcement Field Service Technician II,203513,15,58162.06,8
Crime Analyst,3517,20,74728.55,10
Nurse Practitioner,2309,26,99504.07,3
Information Technology Specialist II,553,23,95459.93,7
Building Services Worker II,5308,8,47941.5,20
Medical Doctor Psychiatrist IV,142005,MD4,223953,1
Community Health Clinic Technician Leader,2708,17,75290,1
Administrative Specialist II,151,21,85087.28,70
Management Services Supervisor,4477,27,113525.42,2
Audiovisual Production Specialist,4443,23,98979.87,5
Senior/Lead Fiscal and Policy Analyst,410,30,134788.26,6
Chief Deputy Sheriff (Colonel),3524,D4,159332,1
Printer Apprentice,5179,9,34147.77,1
Housing Code Inspector III,2253,23,99557.11,5
Parking Meter Mechanic,4523,15,62658.63,4
Electrician I,5073,18,75920.53,4
Senior Information Technology Specialist,551,28,124616.6,85
Correctional Specialist III,3245,24,88444.25,25
Investigator II,644,23,85360.37,1
Emergency Vehicle Mechanic Technician II,205002,20,72591.19,10
Senior Executive Administrative Aide,9268,18,75733.68,14
Liquor Store Manager,8009,21,82119.61,26
Transit Analyst,4460,16,59083.09,4
Plumber II,5062,19,81909.6,4
Senior Public Safety Emergency Communications Specialist,203093,21,75171.88,2
Senior Water Quality Specialist,2230,26,94540.02,1
Information Technology Supervisor,558,30,138517.48,5
Print Shop Foreman,5172,20,73088.55,1
Senior Planning Specialist,4402,25,105694.47,21
Facilities and Equipment Maintenance Coordinator,5027,20,86669,2
Legislative Analyst III,715,28,118920.54,5
Urban District Public Service and Maintenance Team Supervisor,628,17,75290,3
Executive Administrative Aide to Chief Administrative Officer,9271,20,86669,1
Legislative Services Coordinator,722,17,72390.31,6
Firefighter/Rescuer III,3170,F3,74144.93,409
Income Assistance Program Supervisor,2011,24,98148.54,18
Forensic Firearms/Toolmark Examiner,3518,24,104680,2
Information Technology Specialist I,554,20,76046.64,4
Imaging Operator Leader,109009,14,59682.11,1
Water Quality Specialist II,2231,22,91574.07,5
Supply Technician III,9235,13,55954.17,3
Forest Conservation Coordinator,102204,25,109761,1
Supply Technician I,9237,10,39379.32,1
Correctional Supervisor - Sergeant,3234,C6,94434.43,37
Police Captain,3063,A3,156780.64,21
Deputy Sheriff III,3529,G4,83677.86,66
Manager III,112,M3,132146.03,252
Correctional Specialist IV,3247,25,105117.9,4
